,TechScore,Seniority,Gender,DegreeType,Age,Department_HR,Department_IT,Risk
0,60,0,1,1,31,1,0,0.12368641972409031
1,50,0,0,1,26,0,0,0.21436169118230677
2,56,14,1,1,59,1,0,0.9129277864682868
3,45,15,0,0,80,0,1,0.9999992546710321
4,41,0,0,0,22,1,0,0.2751838511960486
5,75,1,1,1,40,1,0,0.0880367394683537
6,61,18,0,0,54,0,1,0.8872506331233824
7,29,19,1,0,54,0,0,0.999972724446713
8,49,5,1,0,71,0,0,0.9997281482433351
9,42,0,0,0,22,0,1,0.332599675239273
10,44,17,0,0,48,1,0,0.9782041184993409
11,54,4,0,1,53,0,0,0.8330987882746622
12,86,0,0,1,30,0,0,0.03142976182558123
13,43,0,1,0,22,0,0,0.2566036426497901
14,30,0,1,1,22,0,1,0.553932436613359
15,71,0,0,1,23,1,0,0.043717795856448194
16,47,11,1,0,33,0,1,0.5332244728899309
17,76,4,0,1,52,1,0,0.1998748596126383
18,74,16,1,1,42,1,0,0.14227241288069722
19,56,2,1,1,65,1,0,0.9464698939185858
20,42,0,0,0,26,0,1,0.4220229991468602
21,19,13,1,0,60,0,0,0.9999995909543771
22,42,16,0,1,56,0,1,0.9993955865452797
23,33,0,1,0,36,1,0,0.8380509078811036
24,85,0,0,1,22,0,0,0.02065082516620104
25,71,3,0,1,64,0,1,0.6766537921970363
26,80,0,1,1,22,0,1,0.027875698161407773
27,36,0,1,0,22,0,1,0.4304272964893086
28,80,1,0,1,41,0,0,0.08892151858753419
29,87,0,0,1,22,1,0,0.015764416481784775
30,89,0,1,0,22,0,0,0.016244514438274755
31,51,4,0,1,34,1,0,0.30406296106894676
32,29,0,0,0,22,1,0,0.5592008122312307
33,66,11,1,1,65,0,0,0.8524610381861584
34,73,0,1,1,22,1,0,0.033041200115652446
35,86,15,0,1,74,0,1,0.6420404926382314
36,52,13,0,0,73,0,0,0.999899939756483
37,27,6,0,0,79,1,0,0.9999999609896183
38,59,10,1,1,49,0,1,0.5970359516648929
39,60,0,0,1,22,0,1,0.10228397769281868
40,87,0,1,1,42,0,0,0.05502321450624244
41,74,3,0,1,44,0,0,0.15881421693792255
42,51,0,1,0,22,1,0,0.13669412065304312
43,100,8,0,1,57,0,1,0.08892151858753417
44,57,0,0,0,22,0,1,0.13533405442761456
45,80,0,1,1,22,1,0,0.02170961560891021
46,65,0,0,1,22,0,0,0.06856313337768492
47,77,3,1,1,37,0,1,0.0871607637704872
48,59,13,0,0,65,1,0,0.9819466616132446
49,86,3,0,1,46,1,0,0.07502000443256923
50,64,1,1,1,80,0,1,0.9975624587186905
51,14,0,0,0,22,0,1,0.9893446198304883
52,52,0,1,1,22,0,1,0.14956638022622123
53,51,0,0,0,22,0,1,0.19396938858425106
54,52,0,1,1,22,1,0,0.11648365816986023
55,62,19,1,0,43,0,1,0.4656016478888595
56,74,18,0,1,80,1,0,0.9819466616132446
57,80,0,1,1,22,1,0,0.02170961560891021
58,45,0,0,1,22,0,1,0.25152787625843925
59,53,11,1,0,78,0,1,0.9999631829081106
60,52,5,0,0,39,0,1,0.553932436613359
61,83,14,0,1,79,0,1,0.8872506331233824
62,55,17,0,0,80,0,0,0.9999797933446171
63,50,0,0,0,22,0,1,0.20595982881390143
64,49,13,1,1,38,0,1,0.5970359516648931
65,79,0,1,1,35,0,1,0.06457033239782801
66,60,0,1,0,22,0,1,0.10228397769281868
67,37,8,0,0,34,0,1,0.9024851434336199
68,77,0,0,1,22,1,0,0.028724639541893447
69,39,6,0,1,39,1,0,0.8073394500340797
70,76,0,0,1,22,0,1,0.03916389437730609
71,58,11,1,0,64,1,0,0.9654751769574326
72,64,18,0,1,71,0,1,0.9960000676736798
73,36,9,1,0,47,0,1,0.9970275754929983
74,69,11,0,1,35,1,0,0.12618497431349973
75,82,14,0,1,40,0,0,0.09632747844648581
76,52,10,1,1,47,1,0,0.6249764488577275
77,77,3,0,1,60,0,0,0.346110969086501
78,71,4,0,1,71,0,0,0.8616730849810414
79,24,1,0,0,40,0,1,0.9990991236731036
80,56,12,0,0,39,0,1,0.5033015960246342
81,46,3,1,0,59,1,0,0.9898486806958271
82,36,0,0,0,62,0,1,0.9999503040445016
83,50,7,0,1,80,0,1,0.9999877437516491
84,26,13,0,1,60,0,1,0.9999979739935945
85,46,0,1,0,22,0,1,0.23689239714035218
86,55,10,1,0,54,1,0,0.8178318741789911
87,32,4,0,0,28,0,0,0.7911876300677028
88,70,16,1,0,54,0,1,0.5230957953250198
89,43,0,1,1,22,0,1,0.2566036426497901
90,43,15,0,0,48,0,0,0.9903295917351875
91,82,0,0,1,38,1,0,0.05557620671811535
92,29,0,1,0,22,1,0,0.5081916773313707
93,75,0,0,0,22,1,0,0.03579310464709698
94,57,13,0,1,35,0,1,0.346110969086501
95,60,8,1,0,80,1,0,0.9992243168763199
96,100,0,0,1,22,1,0,0.007226503281347977
97,60,5,1,1,41,1,0,0.24902757761125333
98,21,14,1,0,49,0,1,0.9999889100490842
99,51,0,1,0,22,0,0,0.15881421693792255
100,57,0,0,0,22,0,0,0.12245575386107728
101,25,16,0,0,55,1,0,0.9999894508952559
102,64,6,0,1,31,0,1,0.15566978407400886
103,61,11,0,0,73,0,1,0.9989003243050258
104,99,0,0,1,32,0,0,0.016244514438274755
105,66,12,1,0,72,0,0,0.9843458728826024
106,52,0,1,0,22,0,0,0.14956638022622123
107,69,11,1,1,53,0,1,0.4304272964893086
108,65,0,1,0,27,0,0,0.09255045181967807
109,94,7,1,1,52,0,0,0.07577396616544713
110,33,0,0,0,26,1,0,0.5592008122312306
111,51,4,1,0,42,0,1,0.6193349159530439
112,55,0,1,1,31,0,1,0.21436169118230675
113,53,0,1,0,36,1,0,0.28073361610293557
114,66,10,1,1,39,0,0,0.19788668727104988
115,94,0,0,1,22,0,1,0.013299883541336842
116,82,0,1,1,24,0,1,0.027875698161407773
117,60,0,0,1,22,1,0,0.07965896918377717
118,70,0,1,0,22,0,0,0.050792830430548344
119,79,0,1,1,80,0,0,0.8020075880293983
120,69,5,1,1,60,1,0,0.45211697646808474
121,52,4,0,0,76,0,0,0.999899939756483
122,72,7,1,1,42,0,0,0.15566978407400886
123,58,8,1,1,31,1,0,0.16365029476754905
124,16,0,0,1,22,0,1,0.9698677838298122
125,36,14,1,0,73,0,0,0.9999987711620595
126,29,0,1,0,25,1,0,0.6025682726166688
127,77,16,1,1,41,0,0,0.13002774425825933
128,37,14,1,1,47,1,0,0.9864393703726007
129,77,11,0,1,68,0,0,0.6420404926382318
130,76,0,1,1,22,0,0,0.03206468511049461
131,79,19,0,1,43,0,0,0.15258758130739972
132,38,4,1,0,29,1,0,0.4888674135439805
133,38,18,1,0,43,0,0,0.9882628587457177
134,32,5,1,0,57,0,0,0.9998894198193667
135,42,0,1,0,22,0,0,0.2724499198782097
136,35,1,1,0,47,0,1,0.9951273409215075
137,92,0,0,1,41,1,0,0.03651617327956223
138,32,18,1,0,56,0,1,0.9999753198666148
139,91,0,1,1,22,0,0,0.01303652820245597
140,26,19,0,0,50,0,0,0.9999776683344898
141,78,0,0,1,29,0,0,0.04783488709813345
142,92,2,1,1,38,1,0,0.028724639541893447
143,34,2,1,0,38,1,0,0.8832107697193786
144,33,0,1,0,26,0,0,0.5860624422193736
145,76,0,0,1,22,0,1,0.03916389437730609
146,45,0,1,0,22,0,1,0.25152787625843925
147,29,0,0,0,22,0,0,0.6420404926382316
148,60,0,1,1,22,0,0,0.08374315661158575
149,54,0,1,0,40,0,0,0.3899211137188816
150,49,1,0,0,60,1,0,0.9864393703726007
151,65,16,0,0,74,0,0,0.9973081634236943
152,68,8,0,0,47,0,0,0.3325996752392731
153,35,0,0,0,73,1,0,0.9999952598990869
154,13,8,0,0,80,0,1,0.9999999998983451
155,66,0,0,1,22,0,1,0.07136124314416518
156,85,2,1,1,40,0,0,0.05726875320982552
157,52,0,1,1,22,0,0,0.13533405442761448
158,50,2,1,0,54,0,1,0.9568740723929055
159,59,0,1,1,22,1,0,0.07653550522554546
160,72,0,1,1,22,1,0,0.03508435372784325
161,68,0,0,1,22,0,1,0.0632917555034262
162,9,0,0,0,32,1,0,0.9995738490022104
163,61,15,1,0,50,1,0,0.53834571240854
164,16,15,0,0,47,0,0,0.9999959201492538
165,42,0,1,0,22,0,0,0.2724499198782097
166,90,0,0,1,22,0,0,0.015298507564161477
167,66,0,0,1,22,0,0,0.064570332397828
168,50,0,0,0,22,1,0,0.16041016017283719
169,62,1,1,0,46,0,0,0.3530659964357554
170,51,6,0,0,45,0,0,0.746278448194991
171,74,0,1,1,27,1,0,0.0420035968050749
172,43,0,1,0,22,0,0,0.2566036426497901
173,55,18,1,0,80,0,1,0.9999817161566439
174,67,3,0,0,50,1,0,0.32930332775082566
175,58,0,0,0,27,0,0,0.15566978407400886
176,26,0,0,0,22,0,1,0.8020075880293982
177,38,6,1,0,29,0,1,0.6420404926382314
178,62,11,0,1,48,1,0,0.417878379929076
179,54,11,0,0,44,0,1,0.7231898665350868
180,26,0,1,0,28,1,0,0.8073394500340797
181,58,0,0,0,27,0,0,0.15566978407400886
182,39,0,0,0,22,0,0,0.36015685023570293
183,46,15,1,0,43,0,0,0.8790800359626474
